llm,language,question,attempted,parsed,n_failed,n_refusal,n_other_failure,refusal_rate
glm-5.2,en,Y003,50,50,0,0,0,0.0
gpt-oss:120b,en,A008,50,50,0,0,0,0.0
gpt-oss:120b,en,A165,50,50,0,0,0,0.0
gpt-oss:120b,en,E018,50,50,0,0,0,0.0
gpt-oss:120b,en,E025,50,50,0,0,0,0.0
gpt-oss:120b,en,F063,50,50,0,0,0,0.0
gpt-oss:120b,en,F118,50,41,9,9,0,0.18
gpt-oss:120b,en,F120,50,49,1,1,0,0.02
gpt-oss:120b,en,G006,50,50,0,0,0,0.0
gpt-oss:120b,en,Y002,50,50,0,0,0,0.0
gpt-oss:120b,en,Y003,50,50,0,0,0,0.0
gpt-oss:20b,en,A008,50,50,0,0,0,0.0
gpt-oss:20b,en,A165,50,50,0,0,0,0.0
gpt-oss:20b,en,E018,50,50,0,0,0,0.0
gpt-oss:20b,en,E025,50,50,0,0,0,0.0
gpt-oss:20b,en,F063,50,50,0,0,0,0.0
gpt-oss:20b,en,F118,50,50,0,0,0,0.0
gpt-oss:20b,en,F120,50,50,0,0,0,0.0
gpt-oss:20b,en,G006,50,50,0,0,0,0.0
gpt-oss:20b,en,Y002,50,50,0,0,0,0.0
gpt-oss:20b,en,Y003,50,50,0,0,0,0.0
kimi-k2.6,en,A008,50,50,0,0,0,0.0
kimi-k2.6,en,A165,50,50,0,0,0,0.0
kimi-k2.6,en,E018,50,50,0,0,0,0.0
kimi-k2.6,en,E025,50,50,0,0,0,0.0
kimi-k2.6,en,F063,50,50,0,0,0,0.0
kimi-k2.6,en,F118,50,50,0,0,0,0.0
kimi-k2.6,en,F120,50,50,0,0,0,0.0
kimi-k2.6,en,G006,50,50,0,0,0,0.0
kimi-k2.6,en,Y002,50,50,0,0,0,0.0
kimi-k2.6,en,Y003,50,50,0,0,0,0.0
kimi-k2.7-code,en,A008,50,50,0,0,0,0.0
kimi-k2.7-code,en,A165,50,50,0,0,0,0.0
kimi-k2.7-code,en,E018,50,50,0,0,0,0.0
kimi-k2.7-code,en,E025,50,50,0,0,0,0.0
kimi-k2.7-code,en,F063,50,50,0,0,0,0.0
kimi-k2.7-code,en,F118,50,50,0,0,0,0.0
kimi-k2.7-code,en,F120,50,50,0,0,0,0.0
kimi-k2.7-code,en,G006,50,50,0,0,0,0.0
kimi-k2.7-code,en,Y002,50,50,0,0,0,0.0
kimi-k2.7-code,en,Y003,50,50,0,0,0,0.0
minimax-m2.7,en,A008,50,50,0,0,0,0.0
minimax-m2.7,en,A165,50,50,0,0,0,0.0
minimax-m2.7,en,E018,50,50,0,0,0,0.0
minimax-m2.7,en,E025,50,50,0,0,0,0.0
minimax-m2.7,en,F063,50,50,0,0,0,0.0
minimax-m2.7,en,F118,50,50,0,0,0,0.0
minimax-m2.7,en,F120,50,50,0,0,0,0.0
minimax-m2.7,en,G006,50,50,0,0,0,0.0
minimax-m2.7,en,Y002,50,50,0,0,0,0.0
minimax-m2.7,en,Y003,50,50,0,0,0,0.0
minimax-m3,en,A008,50,50,0,0,0,0.0
minimax-m3,en,A165,50,50,0,0,0,0.0
minimax-m3,en,E018,50,50,0,0,0,0.0
minimax-m3,en,E025,50,50,0,0,0,0.0
minimax-m3,en,F063,50,50,0,0,0,0.0
minimax-m3,en,F118,50,50,0,0,0,0.0
minimax-m3,en,F120,50,50,0,0,0,0.0
minimax-m3,en,G006,50,50,0,0,0,0.0
minimax-m3,en,Y002,50,50,0,0,0,0.0
minimax-m3,en,Y003,50,50,0,0,0,0.0
mistral-large-3:675b,en,A008,50,50,0,0,0,0.0
mistral-large-3:675b,en,A165,50,50,0,0,0,0.0
mistral-large-3:675b,en,E018,50,50,0,0,0,0.0
mistral-large-3:675b,en,E025,50,50,0,0,0,0.0
mistral-large-3:675b,en,F063,50,50,0,0,0,0.0
mistral-large-3:675b,en,F118,50,50,0,0,0,0.0
mistral-large-3:675b,en,F120,50,50,0,0,0,0.0
mistral-large-3:675b,en,G006,50,50,0,0,0,0.0
mistral-large-3:675b,en,Y002,50,50,0,0,0,0.0
mistral-large-3:675b,en,Y003,50,50,0,0,0,0.0
nemotron-3-nano:30b,en,A008,50,50,0,0,0,0.0
nemotron-3-nano:30b,en,A165,50,50,0,0,0,0.0
nemotron-3-nano:30b,en,E018,50,50,0,0,0,0.0
nemotron-3-nano:30b,en,E025,50,50,0,0,0,0.0
nemotron-3-nano:30b,en,F063,50,50,0,0,0,0.0
nemotron-3-nano:30b,en,F118,50,50,0,0,0,0.0
nemotron-3-nano:30b,en,F120,50,50,0,0,0,0.0
nemotron-3-nano:30b,en,G006,50,50,0,0,0,0.0
nemotron-3-nano:30b,en,Y002,50,50,0,0,0,0.0
nemotron-3-nano:30b,en,Y003,50,49,1,0,1,0.0
nemotron-3-super,en,A008,50,50,0,0,0,0.0
nemotron-3-super,en,A165,50,50,0,0,0,0.0
nemotron-3-super,en,E018,50,50,0,0,0,0.0
nemotron-3-super,en,E025,50,50,0,0,0,0.0
nemotron-3-super,en,F063,50,50,0,0,0,0.0
nemotron-3-super,en,F118,50,50,0,0,0,0.0
nemotron-3-super,en,F120,50,50,0,0,0,0.0
nemotron-3-super,en,G006,50,50,0,0,0,0.0
nemotron-3-super,en,Y002,50,50,0,0,0,0.0
nemotron-3-super,en,Y003,50,50,0,0,0,0.0
nemotron-3-ultra,en,A008,50,50,0,0,0,0.0
nemotron-3-ultra,en,A165,50,50,0,0,0,0.0
nemotron-3-ultra,en,E018,50,50,0,0,0,0.0
nemotron-3-ultra,en,E025,50,50,0,0,0,0.0
nemotron-3-ultra,en,F063,50,48,2,2,0,0.04
nemotron-3-ultra,en,F118,50,34,16,12,4,0.24
nemotron-3-ultra,en,F120,50,29,21,19,2,0.38
nemotron-3-ultra,en,G006,50,49,1,1,0,0.02
nemotron-3-ultra,en,Y002,50,50,0,0,0,0.0
nemotron-3-ultra,en,Y003,50,50,0,0,0,0.0
qwen3.5:397b,en,A008,50,50,0,0,0,0.0
qwen3.5:397b,en,A165,50,50,0,0,0,0.0
qwen3.5:397b,en,E018,50,50,0,0,0,0.0
qwen3.5:397b,en,E025,50,50,0,0,0,0.0
qwen3.5:397b,en,F063,50,50,0,0,0,0.0
qwen3.5:397b,en,F118,50,50,0,0,0,0.0
qwen3.5:397b,en,F120,50,47,3,2,1,0.04
qwen3.5:397b,en,G006,50,50,0,0,0,0.0
qwen3.5:397b,en,Y002,50,50,0,0,0,0.0
qwen3.5:397b,en,Y003,50,50,0,0,0,0.0
deepseek-v4-flash,zh,A008,50,50,0,0,0,0.0
deepseek-v4-flash,zh,A165,50,50,0,0,0,0.0
deepseek-v4-flash,zh,E018,50,50,0,0,0,0.0
deepseek-v4-flash,zh,E025,50,50,0,0,0,0.0
deepseek-v4-flash,zh,F063,50,50,0,0,0,0.0
deepseek-v4-flash,zh,F118,50,50,0,0,0,0.0
deepseek-v4-flash,zh,F120,50,50,0,0,0,0.0
deepseek-v4-flash,zh,G006,50,50,0,0,0,0.0
deepseek-v4-flash,zh,Y002,50,50,0,0,0,0.0
deepseek-v4-flash,zh,Y003,50,50,0,0,0,0.0
deepseek-v4-flash:0731,zh,A008,50,50,0,0,0,0.0
deepseek-v4-flash:0731,zh,A165,50,50,0,0,0,0.0
deepseek-v4-flash:0731,zh,E018,50,50,0,0,0,0.0
deepseek-v4-flash:0731,zh,E025,50,50,0,0,0,0.0
deepseek-v4-flash:0731,zh,F063,50,50,0,0,0,0.0
deepseek-v4-flash:0731,zh,F118,50,50,0,0,0,0.0
deepseek-v4-flash:0731,zh,F120,50,50,0,0,0,0.0
deepseek-v4-flash:0731,zh,G006,50,50,0,0,0,0.0
deepseek-v4-flash:0731,zh,Y002,50,50,0,0,0,0.0
deepseek-v4-flash:0731,zh,Y003,50,50,0,0,0,0.0
deepseek-v4-pro,zh,A008,50,50,0,0,0,0.0
deepseek-v4-pro,zh,A165,50,50,0,0,0,0.0
deepseek-v4-pro,zh,E018,50,50,0,0,0,0.0
deepseek-v4-pro,zh,E025,50,50,0,0,0,0.0
deepseek-v4-pro,zh,F063,50,50,0,0,0,0.0
deepseek-v4-pro,zh,F118,50,50,0,0,0,0.0
deepseek-v4-pro,zh,F120,50,50,0,0,0,0.0
deepseek-v4-pro,zh,G006,50,50,0,0,0,0.0
deepseek-v4-pro,zh,Y002,50,50,0,0,0,0.0
deepseek-v4-pro,zh,Y003,50,50,0,0,0,0.0
gemma4:31b,zh,A008,50,50,0,0,0,0.0
gemma4:31b,zh,A165,50,50,0,0,0,0.0
gemma4:31b,zh,E018,50,50,0,0,0,0.0
gemma4:31b,zh,E025,50,50,0,0,0,0.0
gemma4:31b,zh,F063,50,50,0,0,0,0.0
gemma4:31b,zh,F118,50,50,0,0,0,0.0
gemma4:31b,zh,F120,50,46,4,1,3,0.02
gemma4:31b,zh,G006,50,50,0,0,0,0.0
gemma4:31b,zh,Y002,50,50,0,0,0,0.0
gemma4:31b,zh,Y003,50,50,0,0,0,0.0
glm-5.1,zh,A008,50,50,0,0,0,0.0
glm-5.1,zh,A165,50,50,0,0,0,0.0
glm-5.1,zh,E018,50,50,0,0,0,0.0
glm-5.1,zh,E025,50,50,0,0,0,0.0
glm-5.1,zh,F063,50,50,0,0,0,0.0
glm-5.1,zh,F118,50,50,0,0,0,0.0
glm-5.1,zh,F120,50,50,0,0,0,0.0
glm-5.1,zh,G006,50,50,0,0,0,0.0
glm-5.1,zh,Y002,50,50,0,0,0,0.0
glm-5.1,zh,Y003,50,50,0,0,0,0.0
glm-5.2,zh,A008,50,50,0,0,0,0.0
glm-5.2,zh,A165,50,50,0,0,0,0.0
glm-5.2,zh,E018,50,50,0,0,0,0.0
glm-5.2,zh,E025,50,50,0,0,0,0.0
glm-5.2,zh,F063,50,50,0,0,0,0.0
glm-5.2,zh,F118,50,50,0,0,0,0.0
glm-5.2,zh,F120,50,50,0,0,0,0.0
glm-5.2,zh,G006,50,50,0,0,0,0.0
glm-5.2,zh,Y002,50,50,0,0,0,0.0
glm-5.2,zh,Y003,50,50,0,0,0,0.0
gpt-oss:120b,zh,A008,50,50,0,0,0,0.0
gpt-oss:120b,zh,A165,50,50,0,0,0,0.0
gpt-oss:120b,zh,E018,50,50,0,0,0,0.0
gpt-oss:120b,zh,E025,50,50,0,0,0,0.0
gpt-oss:120b,zh,F063,50,50,0,0,0,0.0
gpt-oss:120b,zh,F118,50,38,12,12,0,0.24
gpt-oss:120b,zh,F120,50,47,3,3,0,0.06
gpt-oss:120b,zh,G006,50,50,0,0,0,0.0
gpt-oss:120b,zh,Y002,50,50,0,0,0,0.0
gpt-oss:120b,zh,Y003,50,50,0,0,0,0.0
gpt-oss:20b,zh,A008,50,50,0,0,0,0.0
gpt-oss:20b,zh,A165,50,50,0,0,0,0.0
gpt-oss:20b,zh,E018,50,50,0,0,0,0.0
gpt-oss:20b,zh,E025,50,49,1,1,0,0.02
gpt-oss:20b,zh,F063,50,50,0,0,0,0.0
gpt-oss:20b,zh,F118,50,50,0,0,0,0.0
gpt-oss:20b,zh,F120,50,50,0,0,0,0.0
gpt-oss:20b,zh,G006,50,50,0,0,0,0.0
gpt-oss:20b,zh,Y002,50,50,0,0,0,0.0
gpt-oss:20b,zh,Y003,50,50,0,0,0,0.0
kimi-k2.6,zh,A008,50,50,0,0,0,0.0
kimi-k2.6,zh,A165,50,50,0,0,0,0.0
kimi-k2.6,zh,E018,50,50,0,0,0,0.0
kimi-k2.6,zh,E025,50,50,0,0,0,0.0
kimi-k2.6,zh,F063,50,50,0,0,0,0.0
kimi-k2.6,zh,F118,50,50,0,0,0,0.0
kimi-k2.6,zh,F120,50,50,0,0,0,0.0
kimi-k2.6,zh,G006,50,50,0,0,0,0.0
kimi-k2.6,zh,Y002,50,50,0,0,0,0.0
kimi-k2.6,zh,Y003,50,50,0,0,0,0.0
kimi-k2.7-code,zh,A008,50,50,0,0,0,0.0
kimi-k2.7-code,zh,A165,50,50,0,0,0,0.0
kimi-k2.7-code,zh,E018,50,50,0,0,0,0.0
kimi-k2.7-code,zh,E025,50,50,0,0,0,0.0
kimi-k2.7-code,zh,F063,50,50,0,0,0,0.0
kimi-k2.7-code,zh,F118,50,50,0,0,0,0.0
kimi-k2.7-code,zh,F120,50,50,0,0,0,0.0
kimi-k2.7-code,zh,G006,50,50,0,0,0,0.0
kimi-k2.7-code,zh,Y002,50,50,0,0,0,0.0
kimi-k2.7-code,zh,Y003,50,50,0,0,0,0.0
minimax-m2.7,zh,A008,50,50,0,0,0,0.0
minimax-m2.7,zh,A165,50,50,0,0,0,0.0
minimax-m2.7,zh,E018,50,50,0,0,0,0.0
minimax-m2.7,zh,E025,50,50,0,0,0,0.0
minimax-m2.7,zh,F063,50,50,0,0,0,0.0
minimax-m2.7,zh,F118,50,50,0,0,0,0.0
minimax-m2.7,zh,F120,50,49,1,1,0,0.02
minimax-m2.7,zh,G006,50,50,0,0,0,0.0
minimax-m2.7,zh,Y002,50,50,0,0,0,0.0
minimax-m2.7,zh,Y003,50,50,0,0,0,0.0
minimax-m3,zh,A008,50,50,0,0,0,0.0
minimax-m3,zh,A165,50,50,0,0,0,0.0
minimax-m3,zh,E018,50,50,0,0,0,0.0
minimax-m3,zh,E025,50,50,0,0,0,0.0
minimax-m3,zh,F063,50,48,2,2,0,0.04
minimax-m3,zh,F118,50,37,13,11,2,0.22
minimax-m3,zh,F120,50,47,3,2,1,0.04
minimax-m3,zh,G006,50,49,1,1,0,0.02
minimax-m3,zh,Y002,50,50,0,0,0,0.0
minimax-m3,zh,Y003,50,50,0,0,0,0.0
mistral-large-3:675b,zh,A008,50,50,0,0,0,0.0
mistral-large-3:675b,zh,A165,50,50,0,0,0,0.0
mistral-large-3:675b,zh,E018,50,50,0,0,0,0.0
mistral-large-3:675b,zh,E025,50,50,0,0,0,0.0
mistral-large-3:675b,zh,F063,50,50,0,0,0,0.0
mistral-large-3:675b,zh,F118,50,50,0,0,0,0.0
mistral-large-3:675b,zh,F120,50,50,0,0,0,0.0
mistral-large-3:675b,zh,G006,50,50,0,0,0,0.0
mistral-large-3:675b,zh,Y002,50,50,0,0,0,0.0
mistral-large-3:675b,zh,Y003,50,50,0,0,0,0.0
nemotron-3-nano:30b,zh,A008,50,50,0,0,0,0.0
nemotron-3-nano:30b,zh,A165,50,50,0,0,0,0.0
nemotron-3-nano:30b,zh,E018,50,50,0,0,0,0.0
nemotron-3-nano:30b,zh,E025,50,50,0,0,0,0.0
nemotron-3-nano:30b,zh,F063,50,50,0,0,0,0.0
nemotron-3-nano:30b,zh,F118,50,50,0,0,0,0.0
nemotron-3-nano:30b,zh,F120,50,50,0,0,0,0.0
nemotron-3-nano:30b,zh,G006,50,50,0,0,0,0.0
nemotron-3-nano:30b,zh,Y002,50,50,0,0,0,0.0
nemotron-3-nano:30b,zh,Y003,50,48,2,0,2,0.0
nemotron-3-super,zh,A008,50,50,0,0,0,0.0
nemotron-3-super,zh,A165,50,50,0,0,0,0.0
nemotron-3-super,zh,E018,50,50,0,0,0,0.0
nemotron-3-super,zh,E025,50,50,0,0,0,0.0
nemotron-3-super,zh,F063,50,50,0,0,0,0.0
nemotron-3-super,zh,F118,50,50,0,0,0,0.0
nemotron-3-super,zh,F120,50,49,1,1,0,0.02
nemotron-3-super,zh,G006,50,50,0,0,0,0.0
nemotron-3-super,zh,Y002,50,50,0,0,0,0.0
nemotron-3-super,zh,Y003,50,50,0,0,0,0.0
nemotron-3-ultra,zh,A008,50,50,0,0,0,0.0
nemotron-3-ultra,zh,A165,50,50,0,0,0,0.0
nemotron-3-ultra,zh,E018,50,50,0,0,0,0.0
nemotron-3-ultra,zh,E025,50,50,0,0,0,0.0
nemotron-3-ultra,zh,F063,50,43,7,3,4,0.06
nemotron-3-ultra,zh,F118,50,18,32,15,17,0.3
nemotron-3-ultra,zh,F120,50,4,46,33,13,0.66
nemotron-3-ultra,zh,G006,50,47,3,3,0,0.06
nemotron-3-ultra,zh,Y002,50,50,0,0,0,0.0
nemotron-3-ultra,zh,Y003,50,50,0,0,0,0.0
qwen3.5:397b,zh,A008,50,50,0,0,0,0.0
qwen3.5:397b,zh,A165,50,50,0,0,0,0.0
qwen3.5:397b,zh,E018,50,50,0,0,0,0.0
qwen3.5:397b,zh,E025,50,50,0,0,0,0.0
qwen3.5:397b,zh,F063,50,50,0,0,0,0.0
qwen3.5:397b,zh,F118,50,50,0,0,0,0.0
qwen3.5:397b,zh,F120,50,49,1,0,1,0.0
qwen3.5:397b,zh,G006,50,50,0,0,0,0.0
qwen3.5:397b,zh,Y002,50,50,0,0,0,0.0
qwen3.5:397b,zh,Y003,50,50,0,0,0,0.0
