llm,language,question,n_variants,n_obs,k_harmonic,msb,msw,icc1
glm-5.2,en,Y003,10,50,5.000000000000001,0.40888888888888897,0.35,0.0325552825552826
gpt-oss:120b,en,A008,10,50,5.000000000000001,0.01999999999999999,0.02,0.0
gpt-oss:120b,en,A165,10,50,5.000000000000001,0.01999999999999999,0.02,0.0
gpt-oss:120b,en,E018,10,50,5.000000000000001,0.5888888888888887,0.43000000000000005,0.06881616939364762
gpt-oss:120b,en,E025,10,50,5.000000000000001,0.15333333333333327,0.15,0.0044247787610618644
gpt-oss:120b,en,F063,10,50,5.000000000000001,1.3533333333333333,0.8800000000000001,0.09712722298221607
gpt-oss:120b,en,F118,10,41,3.9735099337748347,3.1841915085817525,0.5924731182795699,0.5240117866111464
gpt-oss:120b,en,F120,10,49,4.878048780487806,1.190136054421768,0.7269230769230769,0.11553810734132326
gpt-oss:120b,en,G006,10,50,5.000000000000001,0.0,0.0,0.0
gpt-oss:120b,en,Y002,10,50,5.000000000000001,0.853333333333333,0.29000000000000004,0.2798013245033111
gpt-oss:120b,en,Y003,10,50,5.000000000000001,0.07999999999999995,0.15000000000000002,0.0
gpt-oss:20b,en,A008,10,50,5.000000000000001,0.053333333333333295,0.08000000000000002,0.0
gpt-oss:20b,en,A165,10,50,5.000000000000001,0.0,0.0,0.0
gpt-oss:20b,en,E018,10,50,5.000000000000001,0.7911111111111112,0.31999999999999995,0.22746781115879836
gpt-oss:20b,en,E025,10,50,5.000000000000001,0.45333333333333337,0.18,0.2329545454545455
gpt-oss:20b,en,F063,10,50,5.000000000000001,2.2133333333333334,0.7,0.30186170212765956
gpt-oss:20b,en,F118,10,50,5.000000000000001,2.33111111111111,2.1,0.021536550010354
gpt-oss:20b,en,F120,10,50,5.000000000000001,0.36666666666666636,0.8299999999999998,0.0
gpt-oss:20b,en,G006,10,50,5.000000000000001,0.36444444444444435,0.2,0.1412213740458014
gpt-oss:20b,en,Y002,10,50,5.000000000000001,0.4977777777777777,0.31999999999999995,0.09999999999999999
gpt-oss:20b,en,Y003,10,50,5.000000000000001,0.2333333333333335,0.25999999999999995,0.0
kimi-k2.6,en,A008,10,50,5.000000000000001,0.0,0.0,0.0
kimi-k2.6,en,A165,10,50,5.000000000000001,0.18000000000000005,0.03,0.5000000000000001
kimi-k2.6,en,E018,10,50,5.000000000000001,0.4466666666666667,0.16999999999999998,0.24556213017751483
kimi-k2.6,en,E025,10,50,5.000000000000001,0.48888888888888893,0.19,0.23932384341637009
kimi-k2.6,en,F063,10,50,5.000000000000001,6.02,0.85,0.5488322717622081
kimi-k2.6,en,F118,10,50,5.000000000000001,3.991111111111112,1.17,0.3253459764223475
kimi-k2.6,en,F120,10,50,5.000000000000001,0.0911111111111113,0.09999999999999999,0.0
kimi-k2.6,en,G006,10,50,5.000000000000001,0.07999999999999997,0.03,0.24999999999999986
kimi-k2.6,en,Y002,10,50,5.000000000000001,3.0244444444444443,0.31000000000000005,0.6365294424179259
kimi-k2.6,en,Y003,10,50,5.000000000000001,0.6777777777777778,0.21000000000000002,0.30819912152269396
kimi-k2.7-code,en,A008,10,50,5.000000000000001,0.01999999999999999,0.02,0.0
kimi-k2.7-code,en,A165,10,50,5.000000000000001,0.046666666666666655,0.06000000000000001,0.0
kimi-k2.7-code,en,E018,10,50,5.000000000000001,0.6222222222222222,0.30999999999999994,0.16766109785202868
kimi-k2.7-code,en,E025,10,50,5.000000000000001,0.2866666666666668,0.24000000000000005,0.03743315508021395
kimi-k2.7-code,en,F063,10,50,5.000000000000001,6.135555555555555,1.5399999999999998,0.37375745526838966
kimi-k2.7-code,en,F118,10,50,5.000000000000001,5.166666666666668,0.6,0.6035242290748899
kimi-k2.7-code,en,F120,10,50,5.000000000000001,0.45333333333333314,0.31999999999999995,0.07692307692307684
kimi-k2.7-code,en,G006,10,50,5.000000000000001,0.23111111111111116,0.18,0.05373831775700939
kimi-k2.7-code,en,Y002,10,50,5.000000000000001,3.031111111111111,0.30999999999999994,0.6370967741935484
kimi-k2.7-code,en,Y003,10,50,5.000000000000001,0.22444444444444459,0.36,0.0
minimax-m2.7,en,A008,10,50,5.000000000000001,0.0,0.0,0.0
minimax-m2.7,en,A165,10,50,5.000000000000001,0.2666666666666668,0.14,0.153225806451613
minimax-m2.7,en,E018,10,50,5.000000000000001,0.42000000000000015,0.21000000000000002,0.1666666666666667
minimax-m2.7,en,E025,10,50,5.000000000000001,0.32000000000000006,0.18,0.13461538461538466
minimax-m2.7,en,F063,10,50,5.000000000000001,3.1555555555555546,0.7899999999999999,0.37456016889514415
minimax-m2.7,en,F118,10,50,5.000000000000001,4.26888888888889,1.53,0.2636363636363636
minimax-m2.7,en,F120,10,50,5.000000000000001,0.7755555555555556,0.72,0.015197568389057756
minimax-m2.7,en,G006,10,50,5.000000000000001,0.053333333333333295,0.08000000000000002,0.0
minimax-m2.7,en,Y002,10,50,5.000000000000001,0.49777777777777765,0.43,0.030561122244488922
minimax-m2.7,en,Y003,10,50,5.000000000000001,0.2666666666666667,0.24000000000000005,0.021739130434782608
minimax-m3,en,A008,10,50,5.000000000000001,0.01999999999999999,0.02,0.0
minimax-m3,en,A165,10,50,5.000000000000001,0.09111111111111107,0.05,0.14122137404580137
minimax-m3,en,E018,10,50,5.000000000000001,0.12444444444444443,0.19,0.0
minimax-m3,en,E025,10,50,5.000000000000001,0.14222222222222225,0.2,0.0
minimax-m3,en,F063,10,50,5.000000000000001,1.042222222222222,0.8400000000000002,0.04593639575971719
minimax-m3,en,F118,10,50,5.000000000000001,10.97777777777778,1.8799999999999997,0.491830850552619
minimax-m3,en,F120,10,50,5.000000000000001,0.02000000000000004,0.019999999999999997,4.1633363423443355e-16
minimax-m3,en,G006,10,50,5.000000000000001,0.6422222222222222,0.16,0.3760831889081455
minimax-m3,en,Y002,10,50,5.000000000000001,0.21333333333333335,0.12000000000000002,0.13461538461538455
minimax-m3,en,Y003,10,50,5.000000000000001,0.4977777777777778,0.22999999999999998,0.188871473354232
mistral-large-3:675b,en,A008,10,50,5.000000000000001,0.0,0.0,0.0
mistral-large-3:675b,en,A165,10,50,5.000000000000001,0.6133333333333334,0.03,0.7954545454545454
mistral-large-3:675b,en,E018,10,50,5.000000000000001,0.3644444444444443,0.049999999999999996,0.5570866141732282
mistral-large-3:675b,en,E025,10,50,5.000000000000001,0.0,0.0,0.0
mistral-large-3:675b,en,F063,10,50,5.000000000000001,6.535555555555555,0.27,0.8227312518237525
mistral-large-3:675b,en,F118,10,50,5.000000000000001,11.546666666666667,0.030000000000000006,0.9871428571428572
mistral-large-3:675b,en,F120,10,50,5.000000000000001,0.08000000000000014,0.030000000000000006,0.25000000000000044
mistral-large-3:675b,en,G006,10,50,5.000000000000001,0.0,0.0,0.0
mistral-large-3:675b,en,Y002,10,50,5.000000000000001,0.4977777777777778,0.02,0.8269230769230769
mistral-large-3:675b,en,Y003,10,50,5.000000000000001,0.2244444444444445,0.1,0.19928825622775806
nemotron-3-nano:30b,en,A008,10,50,5.000000000000001,0.046666666666666745,0.15999999999999998,0.0
nemotron-3-nano:30b,en,A165,10,50,5.000000000000001,0.18000000000000008,0.26999999999999996,0.0
nemotron-3-nano:30b,en,E018,10,50,5.000000000000001,0.09777777777777771,0.06999999999999999,0.07352941176470573
nemotron-3-nano:30b,en,E025,10,50,5.000000000000001,0.32,0.17,0.14999999999999997
nemotron-3-nano:30b,en,F063,10,50,5.000000000000001,2.677777777777777,0.45999999999999996,0.4909001475651746
nemotron-3-nano:30b,en,F118,10,50,5.000000000000001,2.08,2.94,0.0
nemotron-3-nano:30b,en,F120,10,50,5.000000000000001,0.2666666666666667,0.2899999999999999,0.0
nemotron-3-nano:30b,en,G006,10,50,5.000000000000001,0.10888888888888897,0.1,0.017467248908297078
nemotron-3-nano:30b,en,Y002,10,50,5.000000000000001,0.7311111111111107,0.27,0.25460122699386484
nemotron-3-nano:30b,en,Y003,10,49,4.878048780487806,0.17777777777777784,0.2666666666666667,0.0
nemotron-3-super,en,A008,10,50,5.000000000000001,0.0,0.0,0.0
nemotron-3-super,en,A165,10,50,5.000000000000001,0.4533333333333334,0.15,0.2879746835443039
nemotron-3-super,en,E018,10,50,5.000000000000001,0.48000000000000004,0.18,0.25
nemotron-3-super,en,E025,10,50,5.000000000000001,0.7311111111111113,0.2,0.34687953555878087
nemotron-3-super,en,F063,10,50,5.000000000000001,0.0,0.0,0.0
nemotron-3-super,en,F118,10,50,5.000000000000001,8.96888888888889,1.1400000000000001,0.5786793692509855
nemotron-3-super,en,F120,10,50,5.000000000000001,0.7755555555555554,0.52,0.08949416342412445
nemotron-3-super,en,G006,10,50,5.000000000000001,0.044444444444444474,0.039999999999999994,0.021739130434782778
nemotron-3-super,en,Y002,10,50,5.000000000000001,3.575555555555555,0.22999999999999998,0.7441917943648048
nemotron-3-super,en,Y003,10,50,5.000000000000001,0.39111111111111124,0.2899999999999999,0.06518624641833824
nemotron-3-ultra,en,A008,10,50,5.000000000000001,0.0,0.0,0.0
nemotron-3-ultra,en,A165,10,50,5.000000000000001,0.8022222222222222,0.1,0.5841035120147874
nemotron-3-ultra,en,E018,10,50,5.000000000000001,0.4555555555555556,0.16,0.26977687626774843
nemotron-3-ultra,en,E025,10,50,5.000000000000001,0.7911111111111113,0.16,0.4409937888198758
nemotron-3-ultra,en,F063,10,48,4.6875,5.375462962962962,0.9368421052631579,0.5026711848691726
nemotron-3-ultra,en,F118,10,34,2.459016393442623,0.8490196078431377,0.5750000000000001,0.16233831153683204
nemotron-3-ultra,en,F120,9,29,1.978021978021978,0.7948275862068971,0.41999999999999993,0.310906250687554
nemotron-3-ultra,en,G006,10,49,4.878048780487806,0.24217687074829936,0.0717948717948718,0.32727950261831446
nemotron-3-ultra,en,Y002,10,50,5.000000000000001,1.9022222222222227,0.29,0.5264876632801161
nemotron-3-ultra,en,Y003,10,50,5.000000000000001,1.0666666666666667,0.31000000000000005,0.3280346820809248
qwen3.5:397b,en,A008,10,50,5.000000000000001,0.0,0.0,0.0
qwen3.5:397b,en,A165,10,50,5.000000000000001,0.0,0.0,0.0
qwen3.5:397b,en,E018,10,50,5.000000000000001,0.053333333333333295,0.08000000000000002,0.0
qwen3.5:397b,en,E025,10,50,5.000000000000001,0.09777777777777771,0.07,0.07352941176470569
qwen3.5:397b,en,F063,10,50,5.000000000000001,7.831111111111111,0.68,0.6777590564448188
qwen3.5:397b,en,F118,10,50,5.000000000000001,0.0,0.0,0.0
qwen3.5:397b,en,F120,10,47,4.651162790697675,0.07943262411347533,0.08648648648648646,0.0
qwen3.5:397b,en,G006,10,50,5.000000000000001,0.09777777777777774,0.11000000000000001,0.0
qwen3.5:397b,en,Y002,10,50,5.000000000000001,0.7111111111111112,0.09,0.5798755186721992
qwen3.5:397b,en,Y003,10,50,5.000000000000001,0.98,0.09,0.6641791044776119
deepseek-v4-flash,zh,A008,10,50,5.000000000000001,0.0,0.0,0.0
deepseek-v4-flash,zh,A165,10,50,5.000000000000001,0.6222222222222222,0.06,0.652061855670103
deepseek-v4-flash,zh,E018,10,50,5.000000000000001,0.4555555555555557,0.21000000000000002,0.18953687821612353
deepseek-v4-flash,zh,E025,10,50,5.000000000000001,0.3022222222222222,0.22000000000000003,0.0695488721804511
deepseek-v4-flash,zh,F063,10,50,5.000000000000001,2.8888888888888893,0.9999999999999998,0.27419354838709686
deepseek-v4-flash,zh,F118,10,50,5.000000000000001,2.675555555555555,0.36,0.562634989200864
deepseek-v4-flash,zh,F120,10,50,5.000000000000001,4.313333333333333,1.7299999999999998,0.2299703264094955
deepseek-v4-flash,zh,G006,10,50,5.000000000000001,0.0,0.0,0.0
deepseek-v4-flash,zh,Y002,10,50,5.000000000000001,0.09111111111111107,0.1,0.0
deepseek-v4-flash,zh,Y003,10,50,5.000000000000001,0.0,0.0,0.0
deepseek-v4-flash:0731,zh,A008,10,50,5.000000000000001,0.13555555555555557,0.21000000000000005,0.0
deepseek-v4-flash:0731,zh,A165,10,50,5.000000000000001,0.035555555555555535,0.04000000000000001,0.0
deepseek-v4-flash:0731,zh,E018,10,50,5.000000000000001,0.2422222222222224,0.35,0.0
deepseek-v4-flash:0731,zh,E025,10,50,5.000000000000001,0.1977777777777778,0.14,0.07624633431085043
deepseek-v4-flash:0731,zh,F063,10,50,5.000000000000001,2.9444444444444446,0.85,0.33012259194395793
deepseek-v4-flash:0731,zh,F118,10,50,5.000000000000001,3.068888888888889,1.1800000000000002,0.24251069900142647
deepseek-v4-flash:0731,zh,F120,10,50,5.000000000000001,0.4999999999999996,1.5,0.0
deepseek-v4-flash:0731,zh,G006,10,50,5.000000000000001,0.188888888888889,0.27,0.0
deepseek-v4-flash:0731,zh,Y002,10,50,5.000000000000001,1.4244444444444444,0.7500000000000001,0.15243596182822694
deepseek-v4-flash:0731,zh,Y003,10,50,5.000000000000001,0.01999999999999999,0.02,0.0
deepseek-v4-pro,zh,A008,10,50,5.000000000000001,0.0,0.0,0.0
deepseek-v4-pro,zh,A165,10,50,5.000000000000001,0.4799999999999999,0.06000000000000001,0.5833333333333333
deepseek-v4-pro,zh,E018,10,50,5.000000000000001,1.4244444444444446,0.4000000000000001,0.3387215282880234
deepseek-v4-pro,zh,E025,10,50,5.000000000000001,0.10888888888888885,0.16,0.0
deepseek-v4-pro,zh,F063,10,50,5.000000000000001,5.424444444444443,3.45,0.1027048896081377
deepseek-v4-pro,zh,F118,10,50,5.000000000000001,0.08000000000000014,0.07999999999999999,3.816391647148974e-16
deepseek-v4-pro,zh,F120,10,50,5.000000000000001,1.4333333333333331,1.2899999999999998,0.021739130434782605
deepseek-v4-pro,zh,G006,10,50,5.000000000000001,0.020000000000000035,0.019999999999999997,3.816391647148974e-16
deepseek-v4-pro,zh,Y002,10,50,5.000000000000001,0.32,0.07,0.41666666666666663
deepseek-v4-pro,zh,Y003,10,50,5.000000000000001,0.0,0.0,0.0
gemma4:31b,zh,A008,10,50,5.000000000000001,0.7311111111111112,0.02,0.8767123287671234
gemma4:31b,zh,A165,10,50,5.000000000000001,0.5355555555555556,0.16,0.3194706994328922
gemma4:31b,zh,E018,10,50,5.000000000000001,1.1466666666666665,0.05,0.8143564356435642
gemma4:31b,zh,E025,10,50,5.000000000000001,0.0,0.0,0.0
gemma4:31b,zh,F063,10,50,5.000000000000001,14.222222222222221,0.0,1.0
gemma4:31b,zh,F118,10,50,5.000000000000001,0.0,0.0,0.0
gemma4:31b,zh,F120,10,46,3.5714285714285707,0.0,0.0,0.0
gemma4:31b,zh,G006,10,50,5.000000000000001,0.18888888888888888,0.06999999999999999,0.25355450236966826
gemma4:31b,zh,Y002,10,50,5.000000000000001,0.4911111111111111,0.039999999999999994,0.6928327645051195
gemma4:31b,zh,Y003,10,50,5.000000000000001,0.0,0.0,0.0
glm-5.1,zh,A008,10,50,5.000000000000001,0.0,0.0,0.0
glm-5.1,zh,A165,10,50,5.000000000000001,0.9777777777777779,0.08,0.6917808219178082
glm-5.1,zh,E018,10,50,5.000000000000001,2.4466666666666663,0.36000000000000004,0.5368782161234991
glm-5.1,zh,E025,10,50,5.000000000000001,0.13333333333333328,0.16999999999999998,0.0
glm-5.1,zh,F063,10,50,5.000000000000001,3.066666666666667,0.86,0.3391393442622951
glm-5.1,zh,F118,10,50,5.000000000000001,3.342222222222222,0.4,0.5953237410071942
glm-5.1,zh,F120,10,50,5.000000000000001,0.3133333333333332,0.12999999999999998,0.21999999999999986
glm-5.1,zh,G006,10,50,5.000000000000001,0.8911111111111111,0.29000000000000004,0.29306608884073665
glm-5.1,zh,Y002,10,50,5.000000000000001,1.3422222222222224,0.22000000000000003,0.505
glm-5.1,zh,Y003,10,50,5.000000000000001,0.09111111111111109,0.05,0.1412213740458014
glm-5.2,zh,A008,10,50,5.000000000000001,0.0,0.0,0.0
glm-5.2,zh,A165,10,50,5.000000000000001,0.45333333333333337,0.15000000000000002,0.2879746835443037
glm-5.2,zh,E018,10,50,5.000000000000001,2.3133333333333335,0.44000000000000006,0.4599018003273322
glm-5.2,zh,E025,10,50,5.000000000000001,0.28666666666666674,0.15,0.1541353383458647
glm-5.2,zh,F063,10,50,5.000000000000001,0.553333333333333,0.09,0.5072992700729925
glm-5.2,zh,F118,10,50,5.000000000000001,3.342222222222222,0.54,0.5092891760904684
glm-5.2,zh,F120,10,50,5.000000000000001,1.1999999999999997,0.32999999999999996,0.34523809523809523
glm-5.2,zh,G006,10,50,5.000000000000001,0.3755555555555555,0.28,0.06389301634472504
glm-5.2,zh,Y002,10,50,5.000000000000001,2.4977777777777783,0.38999999999999996,0.5194414019715224
glm-5.2,zh,Y003,10,50,5.000000000000001,0.0,0.0,0.0
gpt-oss:120b,zh,A008,10,50,5.000000000000001,0.0,0.0,0.0
gpt-oss:120b,zh,A165,10,50,5.000000000000001,0.019999999999999993,0.020000000000000007,0.0
gpt-oss:120b,zh,E018,10,50,5.000000000000001,0.4466666666666667,0.45,0.0
gpt-oss:120b,zh,E025,10,50,5.000000000000001,0.09111111111111107,0.18000000000000002,0.0
gpt-oss:120b,zh,F063,10,50,5.000000000000001,0.5866666666666664,0.8799999999999999,0.0
gpt-oss:120b,zh,F118,10,38,3.409090909090909,1.9680311890838214,1.1202380952380953,0.1816652798703286
gpt-oss:120b,zh,F120,10,47,4.651162790697675,0.2375886524822698,0.9864864864864865,0.0
gpt-oss:120b,zh,G006,10,50,5.000000000000001,0.019999999999999993,0.02,0.0
gpt-oss:120b,zh,Y002,10,50,5.000000000000001,0.37555555555555553,0.37,0.0029940119760478935
gpt-oss:120b,zh,Y003,10,50,5.000000000000001,0.07999999999999996,0.15,0.0
gpt-oss:20b,zh,A008,10,50,5.000000000000001,0.26666666666666666,0.19,0.07467532467532466
gpt-oss:20b,zh,A165,10,50,5.000000000000001,0.04666666666666665,0.06000000000000001,0.0
gpt-oss:20b,zh,E018,10,50,5.000000000000001,0.5977777777777774,0.32,0.14792899408284005
gpt-oss:20b,zh,E025,10,49,4.878048780487806,0.5153061224489794,0.326923076923077,0.10564741249731574
gpt-oss:20b,zh,F063,10,50,5.000000000000001,1.0244444444444443,0.68,0.09198813056379815
gpt-oss:20b,zh,F118,10,50,5.000000000000001,1.9199999999999997,1.8199999999999998,0.010869565217391288
gpt-oss:20b,zh,F120,10,50,5.000000000000001,0.5866666666666664,0.48,0.04255319148936162
gpt-oss:20b,zh,G006,10,50,5.000000000000001,0.13555555555555554,0.14,0.0
gpt-oss:20b,zh,Y002,10,50,5.000000000000001,1.1466666666666667,0.38999999999999996,0.27955665024630544
gpt-oss:20b,zh,Y003,10,50,5.000000000000001,0.2577777777777779,0.3,0.0
kimi-k2.6,zh,A008,10,50,5.000000000000001,0.0,0.0,0.0
kimi-k2.6,zh,A165,10,50,5.000000000000001,0.32,0.06000000000000001,0.46428571428571425
kimi-k2.6,zh,E018,10,50,5.000000000000001,0.8533333333333336,0.24,0.33823529411764713
kimi-k2.6,zh,E025,10,50,5.000000000000001,0.01999999999999999,0.02,0.0
kimi-k2.6,zh,F063,10,50,5.000000000000001,3.519999999999999,2.2399999999999998,0.1025641025641025
kimi-k2.6,zh,F118,10,50,5.000000000000001,0.08000000000000014,0.07999999999999999,3.816391647148974e-16
kimi-k2.6,zh,F120,10,50,5.000000000000001,1.4311111111111103,0.8099999999999999,0.13296860133206453
kimi-k2.6,zh,G006,10,50,5.000000000000001,0.01999999999999999,0.02,0.0
kimi-k2.6,zh,Y002,10,50,5.000000000000001,2.4533333333333336,0.6,0.3818681318681319
kimi-k2.6,zh,Y003,10,50,5.000000000000001,0.035555555555555535,0.04,0.0
kimi-k2.7-code,zh,A008,10,50,5.000000000000001,0.019999999999999993,0.020000000000000007,0.0
kimi-k2.7-code,zh,A165,10,50,5.000000000000001,0.4000000000000001,0.21000000000000002,0.1532258064516129
kimi-k2.7-code,zh,E018,10,50,5.000000000000001,0.5800000000000003,0.36,0.10891089108910904
kimi-k2.7-code,zh,E025,10,50,5.000000000000001,0.053333333333333295,0.08,0.0
kimi-k2.7-code,zh,F063,10,50,5.000000000000001,2.5088888888888885,2.2199999999999998,0.025365853658536573
kimi-k2.7-code,zh,F118,10,50,5.000000000000001,4.666666666666668,1.3,0.3412162162162163
kimi-k2.7-code,zh,F120,10,50,5.000000000000001,1.2799999999999998,0.6499999999999999,0.16237113402061853
kimi-k2.7-code,zh,G006,10,50,5.000000000000001,0.4088888888888887,0.13999999999999999,0.2775229357798164
kimi-k2.7-code,zh,Y002,10,50,5.000000000000001,2.1422222222222222,0.44000000000000006,0.4362186788154897
kimi-k2.7-code,zh,Y003,10,50,5.000000000000001,0.01999999999999999,0.02,0.0
minimax-m2.7,zh,A008,10,50,5.000000000000001,0.0,0.0,0.0
minimax-m2.7,zh,A165,10,50,5.000000000000001,0.1355555555555555,0.12000000000000002,0.025270758122743566
minimax-m2.7,zh,E018,10,50,5.000000000000001,0.26888888888888896,0.22000000000000003,0.04255319148936172
minimax-m2.7,zh,E025,10,50,5.000000000000001,0.18666666666666665,0.14,0.062499999999999944
minimax-m2.7,zh,F063,10,50,5.000000000000001,0.7666666666666672,1.0399999999999998,0.0
minimax-m2.7,zh,F118,10,50,5.000000000000001,1.566666666666666,1.01,0.09928656361474422
minimax-m2.7,zh,F120,10,49,4.878048780487806,1.5964852607709732,1.0653846153846152,0.09271848597318408
minimax-m2.7,zh,G006,10,50,5.000000000000001,0.3022222222222223,0.22000000000000006,0.0695488721804511
minimax-m2.7,zh,Y002,10,50,5.000000000000001,0.2577777777777779,0.22999999999999998,0.023584905660377457
minimax-m2.7,zh,Y003,10,50,5.000000000000001,0.15333333333333338,0.18,0.0
minimax-m3,zh,A008,10,50,5.000000000000001,0.044444444444444474,0.04,0.02173913043478274
minimax-m3,zh,A165,10,50,5.000000000000001,0.21333333333333343,0.24000000000000005,0.0
minimax-m3,zh,E018,10,50,5.000000000000001,0.4977777777777778,0.18,0.2609489051094891
minimax-m3,zh,E025,10,50,5.000000000000001,0.12444444444444451,0.12000000000000002,0.007352941176470656
