llm,question,en_mean,zh_mean,zh_minus_en
gpt-oss:120b,F063,5.82,6.48,0.6600000000000001
gpt-oss:120b,F118,9.21951219512195,9.394736842105264,0.1752246469833132
gpt-oss:120b,F120,5.755102040816326,6.170212765957447,0.4151107251411208
gpt-oss:120b,G006,2.0,1.98,-0.020000000000000018
gpt-oss:120b,Y002,2.12,2.58,0.45999999999999996
gpt-oss:120b,Y003,1.84,1.84,0.0
gpt-oss:20b,A008,1.92,2.0,0.08000000000000007
gpt-oss:20b,A165,1.0,1.06,0.06000000000000005
gpt-oss:20b,E018,2.04,2.58,0.54
gpt-oss:20b,E025,2.12,2.63265306122449,0.5126530612244897
gpt-oss:20b,F063,5.96,6.46,0.5
gpt-oss:20b,F118,8.02,7.72,-0.2999999999999998
gpt-oss:20b,F120,5.5,5.52,0.019999999999999574
gpt-oss:20b,G006,1.88,2.06,0.18000000000000016
gpt-oss:20b,Y002,2.12,2.04,-0.08000000000000007
gpt-oss:20b,Y003,1.5,1.44,-0.06000000000000005
kimi-k2.6,A008,2.0,2.0,0.0
kimi-k2.6,A165,1.94,1.12,-0.8199999999999998
kimi-k2.6,E018,1.94,1.88,-0.06000000000000005
kimi-k2.6,E025,1.4,1.98,0.5800000000000001
kimi-k2.6,F063,6.42,5.88,-0.54
kimi-k2.6,F118,9.16,9.96,0.8000000000000007
kimi-k2.6,F120,5.06,5.88,0.8200000000000003
kimi-k2.6,G006,2.04,1.98,-0.06000000000000005
kimi-k2.6,Y002,1.74,1.72,-0.020000000000000018
kimi-k2.6,Y003,1.5,1.96,0.45999999999999996
kimi-k2.7-code,A008,1.98,1.98,0.0
kimi-k2.7-code,A165,1.94,1.6,-0.33999999999999986
kimi-k2.7-code,E018,1.6,1.74,0.1399999999999999
kimi-k2.7-code,E025,1.42,1.92,0.5
kimi-k2.7-code,F063,6.06,5.18,-0.8799999999999999
kimi-k2.7-code,F118,8.9,9.2,0.29999999999999893
kimi-k2.7-code,F120,5.32,5.64,0.3199999999999994
kimi-k2.7-code,G006,2.12,2.12,0.0
kimi-k2.7-code,Y002,1.92,2.32,0.3999999999999999
kimi-k2.7-code,Y003,1.46,1.98,0.52
minimax-m2.7,A008,2.0,2.0,0.0
minimax-m2.7,A165,1.8,1.14,-0.6600000000000001
minimax-m2.7,E018,1.58,1.66,0.07999999999999985
minimax-m2.7,E025,1.72,1.88,0.15999999999999992
minimax-m2.7,F063,7.2,7.1,-0.10000000000000053
minimax-m2.7,F118,8.74,9.5,0.7599999999999998
minimax-m2.7,F120,5.62,6.040816326530612,0.42081632653061174
minimax-m2.7,G006,1.92,1.64,-0.28
minimax-m2.7,Y002,2.08,1.36,-0.72
minimax-m2.7,Y003,1.6,1.78,0.17999999999999994
minimax-m3,A008,1.98,2.0,0.020000000000000018
minimax-m3,A165,1.94,1.64,-0.30000000000000004
minimax-m3,E018,2.16,1.92,-0.2400000000000002
minimax-m3,E025,1.88,1.96,0.08000000000000007
minimax-m3,F063,4.98,6.375,1.3949999999999996
minimax-m3,F118,8.0,9.675675675675675,1.6756756756756754
minimax-m3,F120,5.02,5.340425531914893,0.32042553191489365
minimax-m3,G006,1.58,1.7551020408163265,0.1751020408163264
minimax-m3,Y002,1.16,1.26,0.10000000000000009
minimax-m3,Y003,1.08,1.98,0.8999999999999999
mistral-large-3:675b,A008,2.0,2.0,0.0
mistral-large-3:675b,A165,1.84,1.3,-0.54
mistral-large-3:675b,E018,2.88,3.0,0.1200000000000001
mistral-large-3:675b,E025,2.0,1.64,-0.3600000000000001
mistral-large-3:675b,F063,7.26,7.54,0.28000000000000025
mistral-large-3:675b,F118,8.24,8.76,0.5199999999999996
mistral-large-3:675b,F120,7.04,7.0,-0.040000000000000036
mistral-large-3:675b,G006,2.0,1.76,-0.24
mistral-large-3:675b,Y002,1.12,2.04,0.9199999999999999
mistral-large-3:675b,Y003,1.14,1.58,0.44000000000000017
nemotron-3-nano:30b,A008,2.06,2.06,0.0
nemotron-3-nano:30b,A165,1.46,1.12,-0.33999999999999986
nemotron-3-nano:30b,E018,1.92,1.94,0.020000000000000018
nemotron-3-nano:30b,E025,1.92,2.0,0.08000000000000007
nemotron-3-nano:30b,F063,6.1,6.32,0.22000000000000064
nemotron-3-nano:30b,F118,7.44,7.02,-0.4200000000000008
nemotron-3-nano:30b,F120,5.2,5.26,0.05999999999999961
nemotron-3-nano:30b,G006,1.98,2.16,0.18000000000000016
nemotron-3-nano:30b,Y002,2.18,2.18,0.0
nemotron-3-nano:30b,Y003,1.7142857142857142,1.7083333333333333,-0.005952380952380931
nemotron-3-super,A008,2.0,2.0,0.0
nemotron-3-super,A165,1.72,1.46,-0.26
nemotron-3-super,E018,1.64,1.74,0.10000000000000009
nemotron-3-super,E025,1.78,1.88,0.09999999999999987
nemotron-3-super,F063,5.0,5.06,0.05999999999999961
nemotron-3-super,F118,8.56,9.52,0.9599999999999991
nemotron-3-super,F120,5.38,5.755102040816326,0.37510204081632637
nemotron-3-super,G006,2.0,2.12,0.1200000000000001
nemotron-3-super,Y002,1.82,1.9,0.07999999999999985
nemotron-3-super,Y003,1.24,1.44,0.19999999999999996
nemotron-3-ultra,A008,2.0,2.0,0.0
nemotron-3-ultra,A165,1.66,1.44,-0.21999999999999997
nemotron-3-ultra,E018,1.7,1.78,0.08000000000000007
nemotron-3-ultra,E025,1.36,1.74,0.3799999999999999
nemotron-3-ultra,F063,6.479166666666667,6.325581395348837,-0.15358527131783006
nemotron-3-ultra,F118,9.676470588235293,9.055555555555555,-0.6209150326797381
nemotron-3-ultra,F120,5.793103448275862,6.25,0.4568965517241379
nemotron-3-ultra,G006,2.020408163265306,1.9148936170212767,-0.10551454624402923
nemotron-3-ultra,Y002,1.84,1.84,0.0
nemotron-3-ultra,Y003,1.2,1.92,0.72
qwen3.5:397b,A008,2.0,1.98,-0.020000000000000018
qwen3.5:397b,A165,2.0,1.16,-0.8400000000000001
qwen3.5:397b,E018,1.92,2.02,0.10000000000000009
qwen3.5:397b,E025,1.08,1.68,0.5999999999999999
qwen3.5:397b,F063,5.92,5.64,-0.28000000000000025
qwen3.5:397b,F118,10.0,10.0,0.0
qwen3.5:397b,F120,5.042553191489362,5.0,-0.042553191489361986
qwen3.5:397b,G006,1.88,1.5,-0.3799999999999999
qwen3.5:397b,Y002,1.2,1.16,-0.040000000000000036
qwen3.5:397b,Y003,1.46,1.96,0.5
